policy_id,policy_holder_name,policy_holder_surname,policy_effective_date,policy_broker_id
fe978e90-5c0e-4375-9b37-0f3b55bfddd3,Ryland,Sanchez,21-05-24,2
3954e8ef-0d81-4951-ad15-969fba099da5,Kela,Carter,02June2020,3
b72a1596-8258-4df8-839a-434e0fc39b5a,Cherish,King,2020/08/31,1
20354db3-30db-4cb3-b6b4-b301128b06c8,Basim,Taylor,21-06-12,5
f5d7bcf5-addc-4955-afec-ef2d6c38f986,Kylah,Hall,2021-01-08,9
b45b00c0-0979-4b4a-bc08-0ff09618f3a1,Lofton,Lee,,10
a70bd28b-fe0a-4ed6-96ba-300a7f9e7362,Hussein,Lee,20-05-05,3
caedd581-dfd6-4cf5-abd6-3cac3b307d65,Dudley,Nguyen,15February2021,10
a8b01d7c-7b5a-4cde-ae91-991544e72795,Endy,Thompson,2020-11-02,2
471773fd-b576-4834-bf1a-7b4888548821,Stephaine,Jones,23September2021,7
2d6a875d-038d-4026-88f6-85dd536ef35a,Arnesha,Lewis,Mon Mar 29 00:00:00 2021,6
6b3a63dd-e64d-4e4a-86ad-a876375f639e,Lashona,Perez,,3
b754e403-6158-49b9-9d75-784eb8e6843a,Tykesha,Rivera,2020/04/13,6
2a011d9e-22a2-4c77-a1a7-5cbc1c77ef1a,Jemar,Robinson,26March2021,6
2baa32d2-0a35-4163-a24a-8e19596bdea9,Renesha,Lee,21-10-31,7
81715490-2459-42ce-8934-41b5cdfcc530,Lucine,Carter,20-08-11,8
a9dc5e3c-fb00-49a2-9b10-38c318c0d90a,Nino,Torres,,6
824b7c7d-af9e-400c-ac48-4a23d4ba19d5,Ginelle,Wilson,06February2020,9
68226577-a213-4e41-9cc9-1cedca7a3300,Muhammed,Adams,20-04-25,7
e7f0b054-2a97-4edb-8fc4-faef1096dd65,Brannon,Lee,03April2020,7
bc2b7ea7-86c0-48dd-812b-8b6d4fb6e90d,Katerina,Baker,05September2021,4
93f7bfbe-a2e6-48b8-a212-6d66f4f187ac,Raffaele,Lewis,2020-11-02,8
42f11aed-4ecd-45dd-985b-fca96c34c599,Rustin,Brown,20-10-12,3
fdf83046-2cfd-4724-9fe1-dfba2fc80bb2,Shekeya,Jones,2021-02-02,1
51a7a4e2-8fa9-48f1-9f52-f3102fc81020,Lorean,Lewis,Sun May 23 00:00:00 2021,8
8ab78ade-a015-4027-9105-ec333d57722e,Ladarryl,Brown,20-04-12,10
cd079fd6-148b-409e-a943-d5d5209dad72,Danaya,Jones,16October2021,2
c7404750-1e5b-415a-9d41-a99a31c7f82e,Cindia,Rivera,21-09-12,1
a021f55e-4f55-4595-b5af-1aaaaa043098,Geary,Roberts,20-08-30,4
8f41417f-dc80-4d4b-a1f6-6e9476e56531,Katisha,King,21-08-18,1
ef38185e-0a01-4907-8589-cd4abecccd9c,Arnecia,Lopez,Sat Feb 27 00:00:00 2021,6
822a0669-ef96-4e57-a714-be1495556c88,Secilia,Lee,Sat Oct 10 00:00:00 2020,9
95d39f4a-5fe0-4efb-82ef-073e7a280210,Abhishek,Harris,Sat Mar 14 00:00:00 2020,6
6e0cf0f0-c317-435e-9bb9-e1e5480285a6,Shirleen,Young,2021-10-26,7
3b1926f8-f36d-42aa-b211-b02125554e73,Virgie,Nguyen,2021/05/11,5
82cfb68c-85b0-4c05-bcc3-910385002a27,Jarrin,Wilson,Sat Nov 28 00:00:00 2020,6
fb5dd443-367b-4eec-8044-2c87dc188a11,Cayman,Carter,21-06-08,8
19166acd-d933-4022-9b42-64393dd2d1f6,Kristyne,Gonzalez,Wed Feb 24 00:00:00 2021,5
de548582-a4e9-4b72-add5-9659df65ecd8,Young,Jones,2020/06/19,8
bb04ab7c-e7d3-4c67-af42-2c106b2222ea,Phung,Hernandez,2020-08-07,1
4af81ff8-0c63-47d5-a869-f9e306899860,Laurena,Anderson,21-07-16,4
ad18c7a6-ac5e-46d9-89c6-a3cb923346e2,Adia,Lewis,18September2020,6
0c150c87-4283-4ad7-be71-7a7989f0733d,Dantavius,Rodriguez,02June2020,7
167eb290-46bd-4753-816b-93d1ebd40b64,Namrata,Lewis,20-12-08,1
89158cc2-ab0a-4d29-b8fc-0213cbdf61a6,Ryane,Brown,06October2020,10
c4d72db6-e409-46fb-b5eb-e55d63416c1c,Alece,Moore,21-12-05,7
a71cc28f-87f1-4d72-bcdf-f3dd2df43da4,Joseangel,Hall,2021-08-22,9
845b63df-cc56-44b2-8894-4fb25d091537,Alsha,Clark,21-03-21,4
884dacba-8e26-4a10-8bd0-b442ecad8c75,Mareena,Thompson,2020/10/14,5
95de98a1-5ef0-4125-8dbf-93b3dfa2e8cd,Deno,Rivera,20-06-29,3
6b18083c-fbe1-41fd-9c19-76f0c4a3a39d,Currie,Williams,20-01-31,3
06626872-c64a-4330-87f7-12ff65a93187,Suzette,Lee,21-08-09,6
89cb7236-3a3d-4e4f-bdb0-c9150055490b,Master,Roberts,Thu Apr 23 00:00:00 2020,1
40eedb27-d2b9-4b32-9bf0-652db570e707,Carolin,Lopez,2021/04/19,6
2809a8fe-8ef0-4402-8c90-eab12685e9b3,Eulalio,Young,Fri Feb 12 00:00:00 2021,1
80494f8d-986c-4621-a2b7-6de01d0aabfd,Christe,Anderson,2021/04/12,3
c6ea2567-3b27-4c52-acf9-019c02f9acae,Larsen,Rodriguez,2021/10/17,10
9193cf4a-aae4-49fc-a062-5f86edd0e255,Suresh,Flores,2021/06/30,3
f9b9262b-336c-4691-bcf7-c56a1a087f22,Rekia,Roberts,2020-07-14,7
fd8afde0-9c25-455a-950c-58e4dbb210f4,Sakura,Garcia,Thu Jul 30 00:00:00 2020,1
eba94cfc-8864-4b66-ab47-5ac87ef662e3,Geovanny,Brown,20-05-21,8
5999581a-e736-41cd-a795-28792c6c29f2,Missie,Miller,2020-04-06,6
69b06f1c-bfd2-47bb-a4dc-443f10a49b05,Tony,Brown,2021-08-30,9
f0e17870-2daf-46a5-b388-3ed9cd724c3c,Shawnetta,Mitchell,2020/06/28,1
3b81a109-bcb9-4fec-a846-357ec5ca83d9,Myiesha,Adams,21-08-01,10
0b399ad4-bc42-41c1-9e28-d264beb9ad56,Janeane,Lewis,2020-02-19,6
a0d4f3d8-decd-43a0-a58f-3db240cbaa06,Caprisha,Thomas,20-04-20,9
5f0dc24e-7f78-4a0f-babd-b5003d696f09,Jackalyn,Smith,2021-08-14,5
8ac1d277-1162-488b-802e-4f4f12302ea8,Christen,Nelson,2021-04-07,10
11977893-37c9-45bd-aed5-d8ef4ecd1743,Renia,Mitchell,31August2021,5
16993180-ec95-41df-862a-7bcb63f929f6,Denee,Nguyen,2020-06-14,9
bdb2e4fc-d99a-4827-b016-6cb1b365b3d0,Isidoro,Davis,2020-07-21,3
58545f2c-544c-4700-aab6-fd150c7d20c5,Bethaney,Torres,2021-08-04,3
2c0022ff-cd42-4335-a124-65766f68262f,Nicholad,Jones,2021-01-30,9
d87f61bd-ed12-443e-a3a6-61d573ea61ce,Tejas,Lewis,Thu Jul 29 00:00:00 2021,8
8ff65921-6ff1-4c71-a1bf-3fb6f71b96ff,Zandrea,Robinson,2020/10/30,8
82db0476-43c3-4bd6-92dd-b29c762c23ce,Tray,Taylor,20-08-27,3
44a8da0c-a370-42f1-a619-f3e3c2dad9ac,Yecheskel,Jackson,Sun Oct 18 00:00:00 2020,1
437ba957-a1ea-4326-b526-c464ba2ba80d,Maeghan,Johnson,20-10-15,1
bf4d8f59-ff65-4f65-9806-53241fd39e72,Nazario,Gonzalez,2020-01-30,2
6b85ed13-da3e-4211-aee8-956a81afeee8,Stefania,Taylor,20-04-02,2
0e6ac7d2-b716-4b72-9d5e-6566847fb121,Chapin,Baker,Mon Dec 21 00:00:00 2020,7
46edb6e1-ad1e-4e57-8a22-ba40c9e093a8,Neeraj,Smith,Thu May 27 00:00:00 2021,3
4fba3a65-5f46-4419-933b-e5ded6b96ee1,Tyreese,Brown,2021/08/17,4
e3755cbb-c730-4e85-8c29-83644e0c3b21,Latorrie,Mitchell,20-07-11,6
3d5981a8-da32-4951-93f1-89ad8efbcc89,Marcelle,Jones,2020-08-28,4
130b15f5-4ba5-4c49-bab6-b64e7159de2c,Britnei,Brown,2021/11/04,6
005ea3e5-e79b-4249-852c-195f75a16b19,Hilarie,Clark,12May2021,9
61547927-36c3-4cf9-b0c2-779e499876e0,Darrious,Rivera,2021-11-27,3
6dea1d6e-4389-4939-bb8f-2fcd2ca5ccd6,Mccall,Hall,21-02-04,10
374ab54c-a7fd-4ce9-9a38-f81b5e259e38,Ciaira,Hall,2021/04/27,5
72e7ac00-771f-4c01-baf5-8395fbf7ae2b,Allie,Perez,2021/05/21,7
44ce91a7-e04b-4996-a6f8-e885b559e37c,Ajit,Lee,Tue Jun 30 00:00:00 2020,5
